ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-29,366.6612410816117,319.20026501262555,419.6568220588357,329.79198073702514,407.4399606887788,1.9348783296019463,1.9348783296019463,1.9348783296019463,1.9348783296019463,1.9348783296019463,1.9348783296019463,0.0,0.0,0.0,368.59611941121364
2024-01-30,367.28320564570004,319.15077575806475,418.10253817352935,330.19870038215385,408.5138858019142,-0.009734027559809165,-0.009734027559809165,-0.009734027559809165,-0.009734027559809165,-0.009734027559809165,-0.009734027559809165,0.0,0.0,0.0,367.2734716181402
2024-01-31,367.90517020978854,317.2325078161727,420.71162171400385,330.3813267171141,409.7605751987322,0.32719417825232133,0.32719417825232133,0.32719417825232133,0.32719417825232133,0.32719417825232133,0.32719417825232133,0.0,0.0,0.0,368.2323643880409
2024-02-01,368.52713477387687,319.5627736693027,420.0057716456486,330.4843806112861,410.8032240963209,-0.4742184745372371,-0.4742184745372371,-0.4742184745372371,-0.4742184745372371,-0.4742184745372371,-0.4742184745372371,0.0,0.0,0.0,368.05291629933964
2024-02-02,369.1490993379652,320.38359723970655,424.46086380159926,330.7820617042713,411.80011820471924,0.6353834795247498,0.6353834795247498,0.6353834795247498,0.6353834795247498,0.6353834795247498,0.6353834795247498,0.0,0.0,0.0,369.78448281748996
2024-02-03,369.7710639020537,321.393540090226,423.31940777327384,330.8744269478947,412.7684071886051,-1.2067522644359177,-1.2067522644359177,-1.2067522644359177,-1.2067522644359177,-1.2067522644359177,-1.2067522644359177,0.0,0.0,0.0,368.5643116376178
2024-02-04,370.393028466142,320.00800511945573,421.6930584673168,331.17046012486907,413.72234997030995,-1.2067512208476683,-1.2067512208476683,-1.2067512208476683,-1.2067512208476683,-1.2067512208476683,-1.2067512208476683,0.0,0.0,0.0,369.1862772452944
2024-02-05,371.01499303023036,323.0299934429333,427.3115581681396,331.5118738861024,414.5233021477261,1.9348783296000023,1.9348783296000023,1.9348783296000023,1.9348783296000023,1.9348783296000023,1.9348783296000023,0.0,0.0,0.0,372.94987135983035
2024-02-06,371.63695759431874,322.0797431890088,425.1139809907452,331.8941795830784,415.3302850025115,-0.009734027561264682,-0.009734027561264682,-0.009734027561264682,-0.009734027561264682,-0.009734027561264682,-0.009734027561264682,0.0,0.0,0.0,371.6272235667575
2024-02-07,372.2589221584072,321.6595066149264,428.20793440893175,332.3439902991851,416.4163651707516,0.3271941782516702,0.3271941782516702,0.3271941782516702,0.3271941782516702,0.3271941782516702,0.3271941782516702,0.0,0.0,0.0,372.58611633665885
2024-02-08,372.8808867224955,322.0446806089327,429.3216524739954,332.8004521188346,417.4681718925933,-0.47421847453963295,-0.47421847453963295,-0.47421847453963295,-0.47421847453963295,-0.47421847453963295,-0.47421847453963295,0.0,0.0,0.0,372.4066682479559
2024-02-09,373.5028512865839,321.2592243474415,427.4011238327475,333.26941804105024,418.4805628078496,0.6353834795271467,0.6353834795271467,0.6353834795271467,0.6353834795271467,0.6353834795271467,0.6353834795271467,0.0,0.0,0.0,374.13823476611105
2024-02-10,374.12481585067235,320.32900620954814,428.5823736898914,333.49993918124346,419.484008460284,-1.206752264441582,-1.206752264441582,-1.206752264441582,-1.206752264441582,-1.206752264441582,-1.206752264441582,0.0,0.0,0.0,372.91806358623074
2024-02-11,374.74678041476074,323.26404704841394,431.592917301828,333.7868154415612,420.4778083837556,-1.206751220847486,-1.206751220847486,-1.206751220847486,-1.206751220847486,-1.206751220847486,-1.206751220847486,0.0,0.0,0.0,373.54002919391326
2024-02-12,375.36874497884907,328.3780252088232,435.73527421185076,334.0714470947901,421.55795385829384,1.934878329605383,1.934878329605383,1.934878329605383,1.934878329605383,1.934878329605383,1.934878329605383,0.0,0.0,0.0,377.30362330845446
2024-02-13,375.9907095429374,323.64265922555813,433.15424784105414,334.4266012954545,422.6833108815756,-0.009734027562720465,-0.009734027562720465,-0.009734027562720465,-0.009734027562720465,-0.009734027562720465,-0.009734027562720465,0.0,0.0,0.0,375.98097551537467
2024-02-14,376.6126741070259,322.8518160295683,435.42752776598866,334.74155403071126,423.8647784153876,0.32719417825271213,0.32719417825271213,0.32719417825271213,0.32719417825271213,0.32719417825271213,0.32719417825271213,0.0,0.0,0.0,376.93986828527864
2024-02-15,377.2346386711142,322.9413063920478,433.31244004131605,335.028254135728,424.9177301818484,-0.474218474537885,-0.474218474537885,-0.474218474537885,-0.474218474537885,-0.474218474537885,-0.474218474537885,0.0,0.0,0.0,376.7604201965763
2024-02-16,377.85660323520256,323.81878406069103,436.98283394987095,335.33065881765236,425.8885551461715,0.6353834795307826,0.6353834795307826,0.6353834795307826,0.6353834795307826,0.6353834795307826,0.6353834795307826,0.0,0.0,0.0,378.49198671473334
2024-02-17,378.4785677992909,322.39601986672113,436.37378946382097,335.345133951958,426.8590539168656,-1.2067522644409863,-1.2067522644409863,-1.2067522644409863,-1.2067522644409863,-1.2067522644409863,-1.2067522644409863,0.0,0.0,0.0,377.2718155348499
2024-02-18,379.1005323633794,323.2179774449764,434.7087207084496,335.29862554470924,427.82955268755984,-1.2067512208473037,-1.2067512208473037,-1.2067512208473037,-1.2067512208473037,-1.2067512208473037,-1.2067512208473037,0.0,0.0,0.0,377.8937811425321
2024-02-19,379.7224969274677,329.51877475479455,438.82772257509765,335.50857267312114,428.80005145825396,1.934878329603439,1.934878329603439,1.934878329603439,1.934878329603439,1.934878329603439,1.934878329603439,0.0,0.0,0.0,381.6573752570712
2024-02-20,380.34446149155605,326.6958272341302,440.2302438159987,335.82048034817996,429.770550228948,-0.009734027557529452,-0.009734027557529452,-0.009734027557529452,-0.009734027557529452,-0.009734027557529452,-0.009734027557529452,0.0,0.0,0.0,380.3347274639985
2024-02-21,380.96642605564455,323.3314359866723,443.5027279373452,336.09870746829733,430.7550695068239,0.327194178253754,0.327194178253754,0.327194178253754,0.327194178253754,0.327194178253754,0.327194178253754,0.0,0.0,0.0,381.2936202338983
2024-02-22,381.5883906197329,326.3723496354753,438.85859357833334,336.1497362529082,432.0441776726764,-0.47421847454028104,-0.47421847454028104,-0.47421847454028104,-0.47421847454028104,-0.47421847454028104,-0.47421847454028104,0.0,0.0,0.0,381.1141721451926
2024-02-23,382.2103551838212,326.864016114047,442.3887759279152,336.12290819385686,433.1904799569444,0.6353834795228714,0.6353834795228714,0.6353834795228714,0.6353834795228714,0.6353834795228714,0.6353834795228714,0.0,0.0,0.0,382.8457386633441
2024-02-24,382.8323197479096,327.1668450511273,441.4938911828487,336.5277937270091,434.1571885690441,-1.20675226444039,-1.20675226444039,-1.20675226444039,-1.20675226444039,-1.20675226444039,-1.20675226444039,0.0,0.0,0.0,381.6255674834692
2024-02-25,383.45428431199804,325.85756603570275,442.212022219127,336.9326792601613,435.1723032700949,-1.2067512208550286,-1.2067512208550286,-1.2067512208550286,-1.2067512208550286,-1.2067512208550286,-1.2067512208550286,0.0,0.0,0.0,382.247533091143
2024-02-26,384.07624887608637,327.5933830650861,449.10773112609763,337.3375647933134,436.0369018178719,1.9348783296051575,1.9348783296051575,1.9348783296051575,1.9348783296051575,1.9348783296051575,1.9348783296051575,0.0,0.0,0.0,386.01112720569154
2024-02-27,384.69821344017475,324.22651734291475,451.9877253243885,337.640817912592,436.9175469782797,-0.009734027557892159,-0.009734027557892159,-0.009734027557892159,-0.009734027557892159,-0.009734027557892159,-0.009734027557892159,0.0,0.0,0.0,384.68847941261686
2024-02-28,385.3201780042632,326.1077846288011,447.8468310625746,337.9633001912719,437.69675623605417,0.3271941782528731,0.3271941782528731,0.3271941782528731,0.3271941782528731,0.3271941782528731,0.3271941782528731,0.0,0.0,0.0,385.64737218251605
2024-02-29,385.9421425683515,327.1332576445231,448.1727471016137,338.2088036868258,438.57175332424157,-0.47421847453853316,-0.47421847453853316,-0.47421847453853316,-0.47421847453853316,-0.47421847453853316,-0.47421847453853316,0.0,0.0,0.0,385.467924093813
